CD_STATION;MOYPTOT;MAXPTOT
05273X0088/PUITS;0.0;0.0
05273X0129/F527;0.0;0.0
05273X0130/P527;0.0;0.0
05342X0032/SF2;0.0;0.0
05353X0015/F;0.0;0.0
05367X0059/SR;0.0;0.0
05376X0008/P2;0.0;0.0
05402X0038/F9;0.0;0.0
05417X0124/F;0.0;0.0
05432X0030/F3AEP;0.0;0.0
05443X0002/F3AEP2;0.0;0.0
05444X0001/PAEP;0.0;0.0
05446X0001/HYAEP;0.0;0.0
05446X0139/FAEP;0.0;0.0
05448X0023/HYAEP;0.0;0.0
05454X0062/FAEP;0.0;0.0
05458X0002/F2AEP;0.0;0.0
05475X0059/F2AEP;0.0;0.0
05486X1001/P;0.0;0.0
05495X0029/P;0.0;0.0
05573X0120/FE3;0.0;0.0
05576X0002/F;0.0;0.0
05604X0200/BACHE;0.0;0.0
05662X0001/PUITS;0.0;0.0
05663X0067/F1;0.0;0.0
05672X0163/F1;0.0;0.0
05678X0060/S;0.0;0.0
05711X0008/FAEP;0.0;0.0
05736X0002/P1;0.0;0.0
05737X0008/C;0.0;0.0
05748X0035/P4;0.0;0.0
05754X0040/EAU;0.0;0.0
05755X0087/S;0.0;0.0
05763X0008/AEP;0.0;0.0
05765X0010/F1;0.0;0.0
05772X0030/SOURCE;0.0;0.0
05781X0017/SOURCE;0.0;0.0
05836X0001/S;0.0;0.0
05846X0005/F1;0.0;0.0
05895X0017/F;0.0;0.0
05915X0018/F;0.0;0.0
05925X0001/HYD;0.0;0.0
05926X0002/PAEP;0.0;0.0
05927X0012/F;0.0;0.0
05933X0006/FAEP3;0.0;0.0
05962X0018/P5;0.0;0.0
05973X0003/F;0.0;0.0
05986X0106/P16-21;0.0;0.0
05992X1084/AUBIN;0.0;0.0
05997X1114/P3;0.0;0.0
06008X0005/SOURCE;0.0;0.0
06022X0016/SCE;0.0;0.0
06023X0059/F1410;0.0;0.0
06124X0026/F;0.0;0.0
06134X0027/F;0.0;0.0
06142X0010/HYD;0.0;0.0
06167X0006/HY;0.0;0.0
06171X1001/HYAEP;0.0;0.0
06187X0001/181;0.0;0.0
06191X0137/P16;0.0;0.0
06216X0165/P4;0.0;0.0
06251X0045/SCE;0.0;0.0
06257X0002/320A;0.0;0.0
06276X1002/P2;0.0;0.0
06303X0010/S249D;0.0;0.0
06367X0135/F;0.0;0.0
06385X0001/F1;0.0;0.0
06451X0053/TX;0.0;0.0
06462X0092/F;0.0;0.0
06475X0007/F;0.0;0.0
06477X0026/S;0.0;0.0
06486X0005/S9B;0.0;0.0
06516X0024/211A;0.0;0.0
06526X0067/P;0.0;0.0
06537X0011/308A;0.0;0.0
06541X0006/PI1;0.0;0.0
06542X0073/SCE1;0.0;0.0
06581X0514/F2BRI;0.0;0.0
06583X0526/PB3;0.0;0.0
06608X0093/F;0.0;0.0
06651X0041/HY;0.0;0.0
06685X0505/HY;0.0;0.0
06695X0020/S;0.0;0.0
06706X0075/PZ;0.0;0.0
06707X0332/P;0.0;0.0
06711X0017/162;0.0;0.0
06744X0003/P2;0.0;0.0
06757X0064/P;0.0;0.0
06758X0060/202B;0.0;0.0
06781X0014/F137A;0.0;0.0
06818X0523/F;0.0;0.0
06818X0524/F;0.0;0.0
06831X0030/S;0.0;0.0
06842X0004/F2;0.0;0.0
06861X0010/F;0.0;0.0
06867X0001/SOURCE;0.0;0.0
06898X0021/HY;0.0;0.0
06925X0010/S;0.0;0.0
06931X0050/HY;0.0;0.0
06936X0202/604;0.0;0.0
06941X0249/P40-08;0.0;0.0
06987F0130/P1;0.0;0.0
06987G0088/F;0.0;0.0
06987H0064/F;0.0;0.0
06988X0047/S;0.0;0.0
06988X0215/P;0.0;0.0
06991X0002/P;0.0;0.0
07001X0271/403A;0.0;0.0
07002X0020/SCE;0.0;0.0
07011X0108/PZ;0.0;0.0
07013X0011/F225A;0.0;0.0
07018X0112/S138A;0.0;0.0
07061X0054/F;0.0;0.0
07068X0006/HY;0.0;0.0
07157X0010/F;0.0;0.0
07163X0015/S;0.0;0.0
07174X0185/737-2;0.0;0.0
07174X0223/PZ1;0.0;0.0
07188X0001/HY;0.0;0.0
07191X0007/2807;0.0;0.0
07203X0165/CPT;0.0;0.0
07222D0216/A26-1;0.0;0.0
07222X0396/F;0.0;0.0
07224A0145/S1;0.0;0.0
07226A0261/N5;0.0;0.0
07226X0322/CPT;0.0;0.0
07227X0002/F;0.0;0.0
07228X0006/S7;0.0;0.0
07228X0008/P;0.0;0.0
07234X0014/F;0.0;0.0
07247X0013/P;0.0;0.0
07256X0046/F1;0.0;0.0
07265X0006/F;0.0;0.0
07316X0027/F;0.0;0.0
07374X0002/S1;0.0;0.0
07415X0016/003917;0.0;0.0
07421X0075/P1;0.0;0.0
07468X0012/P;0.0;0.0
07488X0011/F;0.0;0.0
07552X0003/P1;0.0;0.0
07554X0005/F3;0.0;0.0
07555X0101/F;0.0;0.0
07564X0501/SOURCE;0.0;0.0
07573X0001/HY;0.0;0.0
07595X0022/F;0.0;0.0
07621X0013/F2;0.0;0.0
07655X0020/502;0.0;0.0
07662X0235/C;0.0;0.0
07662X0325/PZ;0.0;0.0
07675X0002/HY;0.0;0.0
07781X0014/F8;0.0;0.0
07792X0006/F;0.0;0.0
07804X0003/F2;0.0;0.0
07821X0001/SOURCE;0.0;0.0
07835X0011/HY;0.0;0.0
07844X0003/P;0.0;0.0
07847X0001/HY;0.0;0.0
07855X0032/HY;0.0;0.0
07857X0001/HY;0.0;0.0
07857X0219/111111;0.0;0.0
07864X0001/HY;0.0;0.0
07888X0023/S;0.0;0.0
07891X0018/S;0.0;0.0
07915X0007/C;0.0;0.0
07916X0007/SCE;0.0;0.0
07926X0050/C;0.0;0.0
07931X0015/001214;0.0;0.0
07951X0002/F1;0.0;0.0
07964X0321/HY;0.0;0.0
07975X0075/PUITS1;0.0;0.0
08062X0020/F;0.0;0.0
08066X0019/F;0.0;0.0
08074X0005/HY;0.0;0.0
08091X0006/HY;0.0;0.0
08097X0012/HY;0.0;0.0
08163X0010/C;0.0;0.0
08165X0002/SCE;0.0;0.0
08188X0052/F2;0.0;0.0
08277X0162/F1;0.0;0.0
08277X0223/F;0.0;0.0
08297X0001/F;0.0;0.0
08312X0010/HY;0.0;0.0
08316X0001/SOURCE;0.0;0.0
08326X0004/HY;0.0;0.0
08326X0006/F;0.0;0.0
08327X0007/HY;0.0;0.0
08332X0009/HY;0.0;0.0
08332X0010/HY;0.0;0.0
08332X0011/HY;0.0;0.0
08341X0011/HY;0.0;0.0
08352X0002/C;0.0;0.0
08375X0201/HY;0.0;0.0
08423X0051/P;0.0;0.0
08494X0072/F2;0.0;0.0
08521X0231/P2;0.0;0.0
08535X0020/F;0.0;0.0
08536X0017/F1;0.0;0.0
08548X0001/F;0.0;0.0
08558X0205/HY;0.0;0.0
08558X0206/HY;0.0;0.0
08567X0028/HY;0.0;0.0
08577X0029/HY;0.0;0.0
08605X0007/HY;0.0;0.0
08612X0205/BNOIR1;0.0;0.0
08614X0009/RESSEN;0.0;0.0
08626X0014/BERNAD;0.0;0.0
08627X0009/SO;0.0;0.0
08775X0017/HY;0.0;0.0
08782X0005/P;0.0;0.0
08785X0002/F;0.0;0.0
08785X0010/F;0.0;0.0
08794X0004/F;0.0;0.0
08797X0205/F;0.0;0.0
08801X0003/F;0.0;0.0
08811X0050/F;0.0;0.0
08814X0011/HY;0.0;0.0
08848X0007/HY;0.0;0.0
08851X0009/HY;0.0;0.0
08854X0004/ROCAYS;0.0;0.0
08854X0015/S;0.0;0.0
08857X0010/HY;0.0;0.0
08858X0210/S;0.0;0.0
08866X0047/BURLE;0.0;0.0
08866X0055/S;0.0;0.0
08867X0064/CASBC1;0.0;0.0
08876X0010/RISAC;0.0;0.0
08885X0213/CHELAR;0.0;0.0
08898X0201/BARAND;0.0;0.0
08901X0119/F1;0.0;0.0
08977X0036/P;0.0;0.0
09007X0047/PZ;0.0;0.0
09022X0009/F;0.0;0.0
09043X0001/F;0.0;0.0
09052X0002/HY;0.0;0.0
09058X0022/HY;0.0;0.0
09061X0005/HY;0.0;0.0
09094X0215/IRONSE;0.0;0.0
09098X0081/HY;0.0;0.0
09101X0281/FPROFO;0.0;0.0
09105X0009/HY;0.0;0.0
09134X0236/PTSQE;0.0;0.0
09138X0061/RPBLQ;0.0;0.0
09155X0102/F;0.0;0.0
09177X0041/P;0.0;0.0
09245X0019/F3;0.0;0.0
09257X0043/P;0.0;0.0
09301X0050/F;0.0;0.0
09335X0120/F;0.0;0.0
09352X0026/HY;0.0;0.0
09353X0002/HY;0.0;0.0
09355X0014/HY;0.0;0.0
09357X0018/HY;0.0;0.0
09357X0022/HY;0.0;0.0
09365X0019/HY;0.0;0.0
09375X0010/ISIS;0.0;0.0
09378X0075/SAUVE;0.0;0.0
09403X0185/F;0.0;0.0
09411X0256/F;0.0;0.0
09462X0005/SOU4;0.0;0.0
09491X0010/F4;0.0;0.0
09506X0048/P1;0.0;0.0
09518X0021/F1;0.0;0.0
09562X0226/F;0.0;0.0
09586X0008/F;0.0;0.0
09595X0003/HY;0.0;0.0
09614X0036/GL;0.0;0.0
09615X0033/HY;0.0;0.0
09625X0234/SO;0.0;0.0
09662X0239/F;0.0;0.0
09663X0233/FOR3;0.0;0.0
09663X0266/F;0.0;0.0
09664X0176/F;0.0;0.0
09675X0070/P;0.0;0.0
09681X0103/F;0.0;0.0
09771X0160/F5S;0.0;0.0
09771X0314/F;0.0;0.0
09838A0421/F;0.0;0.0
09838B2480/F;0.0;0.0
09857X0104/F;0.0;0.0
09882X0208/FONCAU;0.0;0.0
09897X0058/F2;0.0;0.0
09913X0400/RASCLA;0.0;0.0
09957X0065/F;0.0;0.0
09994X0134/F;0.0;0.0
09997X0262/F;0.0;0.0
09998X0178/F;0.0;0.0
10031X0017/F;0.0;0.0
10033X0067/F;0.0;0.0
10046X0136/PZ;0.0;0.0
10132X0203/SOULIE;0.0;0.0
10133X0001/S;0.0;0.0
10138X0010/S;0.0;0.0
10147X0053/SE7;0.0;0.0
10153X0060/PLAINE;0.0;0.0
10158X0138/GCAST1;0.0;0.0
10193X0087/F;0.0;0.0
10202X0111/F;0.0;0.0
10222X0007/SOU;0.0;0.0
10241X0170/F2;0.0;0.0
10263X0014/ERH;0.0;0.0
10272X0012/SOURCE;0.0;0.0
10293X0154/PZ;0.0;0.0
10305X0083/S1;0.0;0.0
10305X0228/F;0.0;0.0
10305X0231/F;0.0;0.0
10305X0232/F;0.0;0.0
10305X0235/PZ;0.0;0.0
10306X0036/F1;0.0;0.0
10306X0245/F;0.0;0.0
10383X0025/111111;0.0;0.0
10405X0081/111111;0.0;0.0
10443X0289/HY;0.0;0.0
10467X0016/HY;0.0;0.0
10492X0021/SOURCE;0.0;0.0
10495X0006/S;0.0;0.0
10508X0004/ERH;0.0;0.0
10514X0014/ERH;0.0;0.0
10516X0005/ERH;0.0;0.0
10517X0013/ERH;0.0;0.0
10518X0016/ERH;0.0;0.0
10522X0030/ERH;0.0;0.0
10525X0005/ERH;0.0;0.0
10536X0057/HY;0.0;0.0
10546X0005/F;0.0;0.0
10548X0002/F;0.0;0.0
10577X0125/F;0.0;0.0
10585X0027/F;0.0;0.0
10644X0074/P;0.0;0.0
10651X0297/P;0.0;0.0
10703X0006/HY;0.0;0.0
10721X0012/HY;0.0;0.0
10722X0015/HY;0.0;0.0
10731X0014/HY;0.0;0.0
10732X0106/HY;0.0;0.0
10734X0010/HY;0.0;0.0
10734X0011/HY;0.0;0.0
10756X0017/HY;0.0;0.0
10762X0062/HY;0.0;0.0
10766X0089/HY;0.0;0.0
10863X0033/HY;0.0;0.0
10906X0027/LIRIU;0.0;0.0
10908X0306/RIGOLE;0.0;0.0
10915X0171/F;0.0;0.0
10915X0350/JACQUE;0.0;0.0
10916X0006/F;0.0;0.0
10916X0065/F7;0.0;0.0
10963X0018/111111;0.0;0.0
10964X0160/AVAL;0.0;0.0
10972X0130/BARNIO;0.0;0.0
10972X0151/F6;0.0;0.0
10972X0181/ARMENG;0.0;0.0
10972X0184/F3BIS;0.0;0.0
10982X0003/SEGRE;0.0;0.0
11056X0123/FIGA;0.0;0.0
11195X0147/FITTEL;0.0;0.0
11221X0134/TRAVO;0.0;0.0
01131X0008/F;0.000166667;0.001
01541X0050/P1;0.0006;0.003
02241X0006/PAEP;0.00075;0.003
00825X0128/111111;0.001;0.002
00861X0001/PAEP;0.001;0.002
09397X0059/PONT;0.001;0.005
02111X0017/C1;0.0012;0.006
10394X0085/P1;0.0012;0.006
09433X0092/P;0.0014;0.007
04365X0028/PUITS;0.0015;0.003
02183X0039/F1;0.0015;0.003
03057X0030/HY;0.0016;0.008
09903X0004/S;0.001857143;0.013
03994X0081/FAEP;0.002;0.002
01604X0001/FAEP;0.002;0.004
01938X0105/P2;0.002;0.01
09695X0141/P5;0.002;0.01
02672X0035/F;0.0024;0.012
02472X0025/C1;0.0025;0.01
04967X0008/P;0.0025;0.01
09185X0011/F;0.0025;0.01
02097X0010/C1;0.0025;0.01
01734X0005/C1;0.002666667;0.008
01832B0415/F3BIS;0.002666667;0.008
04342X0032/AEP;0.002777778;0.012
09065X0008/F;0.002866667;0.0086
03688X1004/PUITS;0.003;0.006
01191X0239/F;0.003333333;0.01
09141X0045/P;0.003333333;0.02
02143X0031/F1;0.003333333;0.01
00818X0054/HY;0.0035;0.006
01293X0021/F;0.0035;0.007
01865X0003/F1;0.0035;0.007
01744X0010/F1;0.00375;0.03
03025X0032/SAEP2;0.004;0.02
03028X0013/HY;0.004;0.02
01116X0098/HY;0.004;0.02
06128X0005/HYD;0.004;0.02
01511X0187/F;0.004;0.004
02298X0021/HY;0.004;0.02
02703X0041/HY;0.005;0.02
02704X0002/S;0.005;0.02
02706X0055/HY;0.005;0.02
03065X0050/HY;0.005;0.02
03681X0016/SN5;0.005;0.01
00698X0027/SAEP;0.005;0.02
04448X0030/SI;0.005;0.02
02336X0007/HY;0.005;0.02
00883X0044/SAEP3;0.005;0.02
06996A0084/F;0.005;0.02
01506X0043/F1;0.005;0.009
07948X0049/F;0.005;0.02
09403X0183/F;0.005;0.02
09662X0235/F;0.005;0.02
10396X0141/171;0.005;0.02
10446X0066/P;0.005;0.02
02282X0005/HY;0.005;0.03
01937X0032/HY;0.005166667;0.02
00991X0128/F2;0.0055;0.006
06995C0266/F;0.0055;0.022
01335X0001/FAEP;0.005575;0.0103
09767X0010/F1;0.005714286;0.02
03325X1020/SOURCE;0.00575;0.021
02655X0028/P.AEP;0.006;0.007
03031X0013/HY;0.006;0.03
00806X0004/P;0.006;0.009
07803X0004/HY;0.006;0.03
08073X0017/HY;0.006;0.03
01626X0010/HY;0.006;0.03
09138X0029/F5;0.006;0.006
09373X0021/MZGNLS;0.006;0.006
10162X0010/ISKA;0.006;0.036
