CD_STATION;MOYPTOT;MAXPTOT
03313X0020/SOURCE;0.1658;0.26
00864X0032/SAEP;0.166;0.21
00682X0027/SAEP;0.166571429;0.21
06993X0099/SR1;0.1675;0.22
07082X0031/HYD;0.167777778;0.2
09914X0266/F;0.1682;0.28
01878X0032/PAEP2;0.1685;0.218
04595X0001/PAEP;0.1686;0.185
01306X0070/HY;0.17;0.19
07237X0077/P;0.17;0.27
09521X0003/SOURCE;0.17;0.18
01318X0042/SAEP;0.17;0.187
01775X0012/C1;0.1705;0.214
04347X0003/SOURCE;0.171111111;0.46
01117X0120/SCE;0.172;0.45
06996X0001/F;0.1725;0.19
01296X0033/HY;0.1725;0.26
02965X0001/PUITS;0.173888889;0.27
03661X0070/PAEP;0.174;0.23
02338X0062/SCE;0.176666667;0.25
00767X0021/F;0.176777778;0.448
07476X0021/S;0.17875;0.22
01321X0011/FAEP;0.17875;0.211
07081X0507/F;0.179666667;0.31
02954X1001/F;0.1798;0.249
05461X0001/PCAEP;0.18075;0.233
04134X0124/F;0.18075;0.273
01318X0002/SAEP;0.181666667;0.201
01868X0057/PAEP;0.181833333;0.302
01764X0013/C1;0.18325;0.254
04138X0149/P3;0.1838;0.3
06835X0009/HY;0.184166667;0.23
00996X0002/PC;0.184777778;1.246
05943X0008/PFAEP1;0.184833333;0.238
04041X0003/SOURCE;0.187285714;0.43
03231X0010/F;0.188;0.204
00518X0011/SO;0.18825;0.35
01612X0096/HY;0.18825;0.365
01824X0177/F1;0.189;0.25
00164X0069/F1;0.19;0.19
02624X0023/F1;0.19025;0.35
06756X0054/HY;0.1925;0.24
07338X0501/P;0.193333333;0.48
05858X0290/F;0.1935;0.526
07334X0511/F2;0.1954;0.26
04222X0092/L24;0.1955;0.264
05347X0001/P1;0.196333333;0.568
00784X0017/F.1978;0.197;0.318
06992X0108/378A;0.1975;0.33
07702X0129/P;0.1975;0.2
02207X0029/F;0.197714286;0.274
02976X0017/FAEP;0.19775;0.387
05761X1026/LEPORT;0.198;0.198
09036X0136/F;0.19875;0.251
03711X0001/AEP;0.199222222;1.6
03423X0002/F;0.2;0.36
00568X0045/P;0.2;0.734
09513X0048/S;0.2;0.21
05273X0089/PUITS;0.2;0.36
00113X0115/P2;0.2;0.2
05867X0154/F;0.20025;0.308
01306X0044/HY;0.201;0.4
03386X0007/HY;0.201833333;1.17
01354X0069/HY;0.202;0.36
00845X0005/F;0.20225;0.32
01695X0009/F1;0.2025;0.81
06741X0008/692A;0.2025;0.3
04413X0002/CN;0.2025;0.76
04051X0001/AEP;0.203;0.81
06996X0104/F;0.203;0.372
02925X0002/F;0.204;0.204
01398X0030/27;0.204;0.74
01168X0005/F1;0.204;0.649
03033X0014/HY;0.204428571;0.34
07346X0013/HY;0.2054;0.277
04028X0046/SOURCE;0.20725;0.698
07482X0033/HY;0.2078;0.64
01578X0002/SAEP;0.208;0.54
00681X0032/SAEP2;0.208666667;0.28
07062X0005/F2;0.21;0.25
03328X0023/SAEP;0.2105;0.241
07472X0017/P2;0.21125;0.25
05276X0097/PUITS;0.213333333;0.32
08911X0014/HY;0.215;0.32
06586X0013/G;0.215;0.41
03394X0142/HY;0.215;0.26
04651X0002/SOURCE;0.21525;0.239
05672X0112/F;0.2155;0.24
06991X0179/S2;0.2172;0.33
09653X0235/S1;0.2172;0.4
04458X0059/F;0.2172;0.67
00167X0003/F1;0.218461538;0.28
